region,timestamp,pm25,AQI_Category
US Diplomatic Post: New Delhi-8118,2025-01-05T21:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-06T01:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-06T05:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-06T09:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-06T13:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-06T17:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-06T20:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T00:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T04:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T08:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T12:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T16:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T19:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T23:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-08T03:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-08T07:30:00.000Z,80.0,Moderate
US Diplomatic Post: New Delhi-8118,2025-01-08T11:30:00.000Z,66.0,Moderate
US Diplomatic Post: New Delhi-8118,2025-01-06T14:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-06T18:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-06T21:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T01:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T05:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T09:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T13:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T17:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T20:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-08T00:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-08T04:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-08T08:30:00.000Z,81.0,Moderate
US Diplomatic Post: New Delhi-8118,2025-01-06T15:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-06T22:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T02:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T06:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T10:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T14:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T18:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T21:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-08T01:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-08T05:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-08T09:30:00.000Z,81.0,Moderate
US Diplomatic Post: New Delhi-8118,2025-01-06T16:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-06T19:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-06T23:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T03:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T07:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T11:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T15:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-07T22:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-08T02:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-08T06:30:00.000Z,99.0,Moderate
US Diplomatic Post: New Delhi-8118,2025-01-08T10:30:00.000Z,70.0,Moderate
US Diplomatic Post: New Delhi-8118,2025-01-16T02:30:00.000Z,110.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T06:30:00.000Z,124.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T10:30:00.000Z,125.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T14:30:00.000Z,175.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T18:30:00.000Z,310.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T21:30:00.000Z,211.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T01:30:00.000Z,118.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T05:30:00.000Z,165.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T09:30:00.000Z,112.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T13:30:00.000Z,140.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T17:30:00.000Z,142.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T04:30:00.000Z,147.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T08:30:00.000Z,101.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T12:30:00.000Z,127.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T16:30:00.000Z,277.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T19:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-16T23:30:00.000Z,132.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T03:30:00.000Z,138.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T07:30:00.000Z,143.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T11:30:00.000Z,119.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T15:30:00.000Z,161.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T03:30:00.000Z,115.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T07:30:00.000Z,121.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T11:30:00.000Z,129.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T15:30:00.000Z,227.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T22:30:00.000Z,196.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T02:30:00.000Z,126.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T06:30:00.000Z,166.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T10:30:00.000Z,108.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T14:30:00.000Z,170.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T18:30:00.000Z,130.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-08T13:30:00.000Z,117.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-08T17:30:00.000Z,270.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-08T20:30:00.000Z,234.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-09T00:30:00.000Z,176.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-09T04:30:00.000Z,183.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-09T08:30:00.000Z,427.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-09T12:30:00.000Z,305.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-09T16:30:00.000Z,338.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-09T19:30:00.000Z,351.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-09T23:30:00.000Z,349.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-08T14:30:00.000Z,129.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-08T18:30:00.000Z,260.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-08T21:30:00.000Z,200.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-09T01:30:00.000Z,160.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-09T05:30:00.000Z,161.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-09T09:30:00.000Z,369.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-09T13:30:00.000Z,374.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-09T17:30:00.000Z,339.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-09T20:30:00.000Z,359.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-10T00:30:00.000Z,289.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-10T01:30:00.000Z,157.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-10T05:30:00.000Z,248.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-10T09:30:00.000Z,209.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-10T13:30:00.000Z,217.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-10T17:30:00.000Z,290.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-10T20:30:00.000Z,188.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-11T00:30:00.000Z,138.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-11T04:30:00.000Z,157.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-11T08:30:00.000Z,182.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-11T12:30:00.000Z,226.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-19T05:30:00.000Z,386.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-19T09:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-19T13:30:00.000Z,129.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-19T17:30:00.000Z,257.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-19T20:30:00.000Z,211.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-20T00:30:00.000Z,156.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-20T04:30:00.000Z,154.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-20T08:30:00.000Z,-999.0,Good
